country,year,fixed_broad_price_i154_FBB_ts_GNI,series_code,series_name,series_units,variable
GRC,2021,2.73554,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
GRC,2022,1.8759,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
GRC,2023,1.65,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HUN,2010,1.91,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HUN,2011,2.0,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HUN,2012,2.59,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HUN,2013,2.54761,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HUN,2014,2.20439,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HUN,2015,1.90967,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HUN,2016,1.87,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HUN,2017,2.02358,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HUN,2018,1.7,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HUN,2019,1.7,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HUN,2020,1.48,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HUN,2021,1.41921,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HUN,2022,0.737211,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HUN,2023,0.61,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
NLD,2010,0.74,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
NLD,2011,0.74,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
NLD,2012,0.76,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
NLD,2013,0.804861,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
NLD,2014,0.99716,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
NLD,2015,0.833563,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
NLD,2016,0.95,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
NLD,2017,1.02489,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
NLD,2018,1.15,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
NLD,2019,1.17,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
NLD,2020,1.35,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
NLD,2021,1.41094,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
NLD,2022,1.05781,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
NLD,2023,1.0,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HRV,2010,1.59,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HRV,2011,1.56,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HRV,2012,1.55,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HRV,2013,1.58506,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HRV,2014,1.63134,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HRV,2015,1.36728,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HRV,2016,1.4,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HRV,2017,1.47832,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HRV,2018,2.15,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HRV,2019,0.67,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HRV,2020,0.6,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HRV,2021,0.637316,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HRV,2022,0.52757,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
HRV,2023,0.54,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
ITA,2010,0.84,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
ITA,2011,0.84,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
ITA,2012,0.86,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
